# Complete Hindi Chapter 04
संगीता, आज तुम क्लास में क्यों नहीं थीं? (Sangītā, āj tum klās mẽ kyõ nahī̃ thī̃?);Sangeeta, why weren't you in class today?
तुम कहाँ थीं? (tum kahā̃ thī̃?);Where were you?
मैं घर पर थी। (maĩ ghar par thī.);I was at home.
सुहास भी था। (Suhās bhī thā.);Suhas was there too.
दूसरे लोग बाहर थे। (dūsre log bāhar the.);The others were out.
वह ख़ूबसूरत आदमी? (vah khūbsūrat ādmī?);That handsome man?
वह कौन है – दोस्त या रिश्तेदार? (vah kaun hai – dost yā riśtedār?);Who is he – friend or relative?
रिश्तेदार तो नहीं, वह मेरा बहुत पुराना दोस्त है। (riśtedār to nahī̃, vah merā bahut purānā dost hai.);Not a relative, he's my very old friend.
यह तुम्हारा दोस्त उम्र में तुमसे काफ़ी बड़ा है! (yah tumhārā dost umr mẽ tumse kāfī baṛā hai!);This friend of yours is quite a lot older than you!
हाँ मुझसे बड़ा तो है, पर बहुत प्यारा आदमी है। (hā̃ mujhse baṛā to hai, par bahut pyārā ādmī hai.);Yes he is older than me, but he's a very dear man.
क्या वह दिल्ली से है? (kyā vah dillī se hai?);Is he from Delhi?
या विदेश से? (yā videś se?);Or from abroad?
वे लोग पहले लंदन में थे। (ve log pahle landan mẽ the.);They were in London before.
पर अब तो सुहास अकेला है। (par ab to Suhās akelā hai.);But now Suhas is alone.
और सुहास सिर्फ़ तुम्हारा "दोस्त" है क्या? (aur Suhās sirf tumhārā "dost" hai kyā?);And Suhas is just your 'friend'?
छोटू, क्या तुमको मालूम है कि रामदास कहाँ है? (Choṭū, kyā tumko mālūm hai ki Rāmdās kahā̃ hai?);Chotu, do you know where Ramdas is?
रामदास घर पर है। (Rāmdās ghar par hai.);Ramdas is at home.
उसको ज़ुकाम है। (usko zukām hai.);He's got a cold.
अरे, वह कल भी बीमार था! (are, vah kal bhī bīmār thā!);What! He was ill yesterday too!
आज प्रकाश जी भी यहाँ नहीं हैं। (āj Prakāś jī bhī yahā̃ nahī̃ haĩ.);Prakash ji is not here today either.
क्यों? (kyõ?);Why?
क्या बात है? (kyā bāt hai?);What's the matter?
क्या उसको भी ज़ुकाम है? (kyā usko bhī zukām hai?);Has he got a cold too?
कल तो उनको बुख़ार था। (kal to unko bukhār thā.);Yesterday he had a fever.
वे शायद आज भी बीमार हैं। (ve śāyad āj bhī bīmār haĩ.);Maybe he's ill today as well.
या उसको काम पसंद नहीं है, शायद! (yā usko kām pasand nahī̃ hai, śāyad!);Or he doesn't like work, maybe!
वह बात नहीं है खन्ना जी – प्रकाश जी बहुत मेहनती आदमी हैं। (vah bāt nahī̃ hai, Khannā jī – Prakāś jī bahut mehnatī ādmī haĩ.);That's not it Khanna ji – Prakash ji's a very hardworking man.
तुम अच्छे लड़के हो छोटू, लेकिन तुमको कुछ नहीं मालूम है। (tum acche laṛke ho Choṭū, lekin tumko kuch nahī̃ mālūm hai.);You're a good lad Chotu, but you don't know anything.
मैं कल दफ़्तर में था। (maĩ kal daftar mẽ thā.);Yesterday I was in the office.
चाचा जी दुकान में थे। (cācā jī dukān mẽ the.);Uncle was in the shop.
माँ भी घर पर नहीं थीं। (mā̃ bhī ghar par nahī̃ thī̃.);Mum too wasn't at home.
दोनों बच्चे बीमार थे। (donõ bacce bīmār the.);Both children were ill.
गोलियाँ मेज़ पर थीं। (goliyā̃ mez par thī̃.);The pills were on the table.
तो क्या दुकान बंद है? (to kyā dukān band hai?);So is the shop closed?
अच्छा, तो तुम लंदन से हो? (acchā, to tum landan se ho?);Ah, then you're from London?
खाना तो गर्म था, पर चाय एकदम ठंडी थी। (khānā to garam thā, par cāy ekdam ṭhaṇḍī thī.);The food was hot, but the tea was completely cold.
खाना अच्छा तो था, पर महँगा भी था। (khānā acchā to thā, par mahãgā bhī thā.);The food was good, but it was expensive too.
संगीता राज से लंबी है। (Sangītā Rāj se lambī hai.);Sangeeta is taller than Raj.
राज संगीता से मोटा है। (Rāj Sangītā se moṭā hai.);Raj is fatter than Sangeeta.
ऋषि संगीता से ज़्यादा लंबा है। (Ṛṣi Sangītā se zyādā lambā hai.);Rishi is taller than Sangeeta.
ऋषि ज़्यादा लंबा है। (Ṛṣi zyādā lambā hai.);Rishi is taller.
राज ज़्यादा मोटा है। (Rāj zyādā moṭā hai.);Raj is fatter.
चाँदी सोने से कम महँगी है। (cā̃dī sone se kam mahãgī hai.);Silver is less costly than gold.
ये चीज़ें कम महँगी हैं। (ye cīzẽ kam mahãgī haĩ.);These things are less expensive.
मैं सब से लंबा हूँ। (maĩ sab se lambā hū̃.);I am the tallest.
दादीजी को ज़ुकाम था। (dādījī ko zukām thā.);Granny had a cold.
दोनों भाइयों को ज़ुकाम था। (donõ bhāiyõ ko zukām thā.);Both brothers had a cold.
सौ लोगों को ज़ुकाम था। (sau logõ ko zukām thā.);A hundred people had a cold.
तुम को बुख़ार था। (tum ko bukhār thā.);You had a fever.
हम को अफ़सोस है कि तुम बीमार हो। (ham ko afsos hai ki tum bīmār ho.);We're sorry that you're ill.
मुझ को आशा है कि वे ठीक हैं। (mujh ko āśā hai ki ve ṭhīk haĩ.);I hope they're OK.
उन को ख़ुशी थी कि गाड़ी सस्ती थी। (un ko khuśī thī ki gāṛī sastī thī.);They were pleased the car was cheap.
उस को समोसे पसंद हैं। (us ko samose pasand haĩ.);He/she likes samosas.
हाँ, मुझ को मालूम है। (hā̃, mujh ko mālūm hai.);Yes, I know.
क्या उस को दाल पसंद है? (kyā us ko dāl pasand hai?);Does he/she like daal?
हम को मालूम नहीं। (ham ko mālūm nahī̃.);We don't know.
क्या तुमको मालूम है कि राज कहाँ है? (kyā tumko mālūm hai ki Rāj kahā̃ hai?);Do you know where Raj is?
क्या उसको मालूम है कि मैं कौन हूँ? (kyā usko mālūm hai ki maĩ kaun hū̃?);Does he/she know who I am?
मुझको नहीं मालूम कि यह क्या है। (mujhko nahī̃ mālūm ki yah kyā hai.);I don't know what this is.
