# Complete Hindi
## Chapter 06
प्रकाश, बताइए, आपका मेहमान प्रताप – वह क्या करता है? (Prakāś, batāie, āpkā mehmān Pratāp – vah kyā kartā hai?);Prakash, tell me, your guest Pratap – what does he do?
वह विद्यार्थी है। (vah vidyārthī hai.);He's a student.
एक प्राइवेट स्कूल में हिन्दी सीखता है। (ek prāiveṭ skūl mẽ hindī sīkhtā hai.);He learns Hindi in a private school.
उसका उच्चारण बहुत साफ़ है। (uskā uccāraṇ bahut sāf hai.);His pronunciation is very clear.
हाँ, प्रताप अच्छा बोलता है। (hā̃, Pratāp acchā boltā hai.);Yes, Pratap speaks well.
वैसे वह बहुत होनहार लड़का है। (vaise vah bahut honahār laṛkā hai.);Actually he's a very promising boy.
मालूम होता है कि संगीता उससे नफ़रत करती है। (mālūm hotā hai ki Sangītā usse nafrat kartī hai.);It seems Sangeeta dislikes him.
मैं नहीं जानता। (maĩ nahī̃ jāntā.);I don't know.
पर संगीता सोचती है कि प्रताप उससे प्यार करता है। (par Sangītā soctī hai ki Pratāp usse pyār kartā hai.);But Sangeeta thinks that Pratap loves her.
राज हमेशा घर पर क्यों रहता है? (Rāj hameśā ghar par kyõ rahtā hai?);Why does Raj always stay at home?
वह दिन भर क्या करता है? (vah din bhar kyā kartā hai?);What does he do all day?
खेलता है, खाता है, सोता है, शरारत करता है। (kheltā hai, khātā hai, sotā hai, śarārat kartā hai.);He plays, eats, sleeps, makes mischief.
बच्चा है, न? (baccā hai, na?);He's a kid, isn't he?
यह अच्छी बात नहीं है कि लड़का घर पर अकेला रहता है। (yah acchī bāt nahī̃ hai ki laṛkā ghar par akelā rahtā hai.);It's not good that the boy stays alone at home.
अरे छोड़ो इन बातों को सुरेश! (are choṛo in bātõ ko Sureś!);Oh leave these things, Suresh!
मैं शुद्ध हिन्दी बोलता हूँ। (maĩ śuddh hindī boltā hū̃.);I speak pure Hindi.
क्या श्रीमती खन्ना पंजाबी समझती हैं? (kyā śrīmatī Khannā pañjābī samajhtī haĩ?);Does Mrs Khanna understand Punjabi?
तुम कहाँ रहते हो? (tum kahā̃ rahte ho?);Where do you live?
प्रताप कभी कभी शराब पीता है। (Pratāp kabhī kabhī śarāb pītā hai.);Pratap sometimes drinks.
मैं सिग्रेट कभी नहीं पीता। (maĩ sigreṭ kabhī nahī̃ pītā.);I never smoke.
शर्मा जी गोश्त नहीं खाते। (Śarmā jī gośt nahī̃ khāte.);Sharma ji does not eat meat.
वह लखनऊ में नहीं रहती, दिल्ली में रहती है। (vah lakhnū mẽ nahī̃ rahtī, dillī mẽ rahtī hai.);She doesn't live in Lucknow, she lives in Delhi.
दादी जी गोश्त खाती हैं। (dādī jī gośt khātī haĩ.);Dadi ji eats meat.
दादी जी गोश्त नहीं खातीं। (dādī jī gośt nahī̃ khātī̃.);Dadi ji doesn't eat meat.
वह सोचता है कि तुम्हारा उच्चारण अच्छा है। (vah soctā hai ki tumhārā uccāraṇ acchā hai.);He thinks that your pronunciation is good.
मैं अक्सर अकेलापन महसूस करता हूँ। (maĩ aksar akelāpan mahsūs kartā hū̃.);I often experience loneliness.
राज नौ बजे स्कूल जाता है। (Rāj nau baje skūl jātā hai.);Raj goes to school at nine o'clock.
आप कितने बजे उठती हैं? (āp kitne baje uṭhtī haĩ?);What time do you get up?
मैं सात बजे उठती हूँ। (maĩ sāt baje uṭhtī hū̃.);I get up at seven o'clock.
मुझको थोड़ी उर्दू आती है। (mujhko thoṛī urdū ātī hai.);I know a little Urdu.
तुमको कितनी भाषाएँ आती हैं? (tumko kitnī bhāṣāẽ ātī haĩ?);How many languages do you know?
