# Complete Hindi Chapter 01
अच्छा (acchā);good, nice; really?, Oh I see!
अलमारी (almārī);cupboard
आदमी (ādmī);man, person
आप (āp);you (formal)
और (aur);and
एक (ek);one, a
कमरा (kamrā);room
काफ़ी (kāfī);quite
कुरसी (kursī);chair
क्या (kyā);what; (question marker)
ख़ाली (khālī);empty, vacant
खिड़की (khiṛkī);window
गाड़ी (gāṛī);car
चिड़िया (ciṛiyā);small bird
छोटा (choṭā);small
जनवरी (janvarī);January
ज़रूर (zarūr);of course, certainly
जी (jī);(respect marker)
ठीक (ṭhīk);all right, OK
तीन (tīn);three
तुम (tum);you (familiar)
तू (tū);you (intimate)
दादी (dādī);grandmother
दोनों (donõ);both
नमस्ते (namaste);hello, goodbye
नहीं (nahī̃);not
पंखा (pankhā);fan
पत्थर (patthar);stone
पलंग (palang);bed
पिता (pitā);father
पुराना (purānā);old (of things)
प्रति (prati);copy
बग़ीचा (bagīcā);garden
बच्चा (baccā);child
बड़ा (baṛā);big
बहुत (bahut);very
बहू (bahū);daughter-in-law
बूढ़ा (būṛhā);elderly
भारतीय (bhāratīy);Indian
भाषा (bhāṣā);language
मकान (makān);house
माता (mātā);mother
मानव (mānav);human being
मूर्ति (mūrti);statue, image
मेज़ (mez);table
मैं (maĩ);I
यह (yah);this, he, she, it
यहाँ (yahā̃);here
ये (ye);these, they; he/she (formal)
रविवार (ravivār);Sunday
राजा (rājā);king
रूसी (rūsī);Russian
लड़का (laṛkā);boy
लड़की (laṛkī);girl
लाल (lāl);red
लोग (log);people
वह (vah);that, he, she, it
वे (ve);those, they; he/she (formal)
शुक्रिया (śukriyā);thank you
सफ़ेद (safed);white
साइकिल (sāikil);bicycle
साफ़ (sāf);clean
सिर्फ़ (sirf);only
सुन्दर (sundar);beautiful
हम (ham);we
हवादार (havādār);airy
हूँ / है / हैं / हो (hū̃ / hai / haĩ / ho);am / is / are / are
दो (do);two
