# Complete Hindi
## Chapter 02
अख़बार (akhbār);newspaper
अभी (abhī);at the moment, right now
आज (āj);today
काग़ज़ (kāgaz);paper, a piece of paper
कितना (kitnā);how much, how many
किताब (kitāb);book
कृपया (kṛpayā);please (formal)
कैसा (kaisā);of what kind, what like, how
कौन (kaun);who
ख़राब (kharāb);bad, broken
ख़ुश (khuś);happy
गंदा (gandā);dirty
चप्पल (cappal);sandal
चिट्ठी (ciṭṭhī);letter, note, chit
छात्र (chātr);student (male)
छात्रा (chātrā);student (female)
जवाब (javāb);answer
जूता (jūtā);shoe, pair of shoes
दिल्ली (dillī);Delhi
दुबला (dublā);thin
दुबला-पतला (dublā-patlā);thin, slight of build
धन्यवाद (dhanyavād);thank you
नमस्कार (namaskār);hello, goodbye
नया / नए / नई (nayā/nae/naī);new
नौ (nau);nine
पतला (patlā);thin, slender
पर (par);but
पाँच (pā̃c);five
पागल (pāgal);mad, crazy
प्रदूषण (pradūṣaṇ);pollution
बहिन (bahin);sister
बात (bāt);matter, thing
बेटा (beṭā);son
बेटी (beṭī);daughter
भाई (bhāī);brother
भी (bhī);also, too
मालूम नहीं (mālūm nahī̃);I don't know
मेहरबानी (meharbānī);kindness
मैडम (maiḍam);madam
या (yā);or
रामायण (rāmāyaṇ);Ramayan (epic poem)
लंबा (lambā);tall, long
श्री (śrī);Mr, Lord (with deity)
श्रीमती (śrīmatī);Mrs
सख़्त (sakht);strict, severe
सब (sab);everything, all
सर (sar);sir
सवाल (savāl);question
साहब (sāhab);Mr, sir
सोमवार (somvār);Monday
सोलह (solah);sixteen
हलो (halo);hello
हवा (havā);air
हाल (hāl);condition, state
हिन्दी (hindī);Hindi
बिलकुल नहीं (bilkul nahī̃);not at all
