# Complete Hindi
## Chapter 04
अकेला (akelā);alone
अफ़सोस (afsos);regret
अरे (are);oh! what!
उम्र (umr);age
एकदम (ekdam);completely
और (aur);more
कम (kam);less, little
कल (kal);yesterday, tomorrow
काम (kām);work
कालेज (kālej);college
कि (ki);that
कुछ नहीं (kuch nahī̃);nothing
क्लास (klās);class
खाना (khānā);food
खुशी (khuśī);happiness, pleasure
ख़ूबसूरत (khūbsūrat);beautiful, handsome
गरम (garam);warm, hot
गोली (golī);tablet, pill
घर पर (ghar par);at home
चाँदी (cā̃dī);silver
चाचा (cācā);paternal uncle
चाय (cāy);tea
ज़ुकाम (zukām);a cold
ज़्यादा (zyādā);more, very
ठंडा (ṭhaṇḍā);cold
तो (to);so, then (contrast)
था / थी / थे / थीं (thā / thī / the / thī̃);was, were
दफ़्तर (daftar);office
दाल (dāl);daal, lentils
दुकान (dukān);shop
दोस्त (dost);friend
पड़ोसी (paṛosī);neighbour
पसंद (pasand);liked, pleasing
पहले (pahle);previously
पहाड़ (pahāṛ);hill, mountain
प्यारा (pyārā);dear, lovely
प्रिय (priy);dear
बंद (band);closed, shut
बाज़ार (bāzār);market
बाल-बच्चे (bāl-bacce);children, family
बाहर (bāhar);out, outside
बुख़ार (bukhār);fever
मज़बूत (mazbūt);strong
मतलब (matlab);meaning
महल (mahal);palace
माँ (mā̃);Ma, Mother
मालूम (mālūm);known
मित्र (mitr);friend
मेहनती (mehnatī);hardworking
रिश्तेदार (riśtedār);relative
विदेश (videś);foreign country, abroad
समोसा (samosā);samosa
साल (sāl);year
सोना (sonā);gold
सौ (sau);hundred
होशियार (hośiyār);clever, intelligent
आशा (āśā);hope
