# Complete Hindi Chapter 07
छठा (chaṭhā);sixth
छुट्टी (chuṭṭī);holiday, free time
ज़मीन (zamīn);ground, land
ज़रूरत (zarūrat);need
ज़रूरी (zarūrī);urgent, necessary
जवाब देना (javāb denā);to reply
जी (jī);yes
जेब (jeb);pocket
ठीक से (ṭhīk se);properly, exactly
डाक्टर (ḍākṭar);doctor
डिब्बा (ḍibbā);box, railway compartment
तरफ़ (taraf);side, direction
तीसरा (tīsrā);third
दर्जन (darjan);a dozen
दूर (dūr);distant, far, away
दूसरा (dūsrā);second
देर (der);delay, a while
नवाँ (navā̃);ninth
पढ़ाना (paṛhānā);to teach
पहला (pahlā);first
पाँचवाँ (pā̃cvā̃);fifth
फ़र्क (fark);difference, separation
बाद में (bād mẽ);later on
बाबू (bābū);clerk
बिजली (bijlī);electricity
बेकार (bekār);useless
बैठा (baiṭhā);seated, sitting
महायुद्ध (mahāyuddh);great war
मार्च (mārc);March
मुसलमान (musalmān);Muslim
मोती (motī);pearl
रंग (raṃg);colour
रोटी (roṭī);bread, food
लाख (lākh);hundred thousand
वजह (vajah);reason, cause
शनिवार (śanivār);Saturday
अलग (alag);separate, different
आठ (āṭh);eight
उर्दू (urdū);Urdu
और कोई (aur koī);any other
औरत (aurat);woman
करोड़ (karoṛ);ten million
किसी (kisī);oblique of कोई (someone/anyone)
कुछ (kuch);some, somewhat, something
के नज़दीक (ke nazdīk);near
के समान (ke samān);like, equal to
कोई (koī);anyone, someone, about
कौन कौन (kaun kaun);which various people
खड़ा (khaṛā);standing, waiting
ख़त्म (khatm);finished
ख़त्म करना (khatm karnā);to finish
ख़ास (khās);special, particular
गर्मी (garmī);heat
गर्मियाँ (garmiyā̃);summer
चतुर्थ (caturtह);fourth (IVth)
चावल (cāval);rice
चाहिए (cāhie);(is) needed, wanted
चौथा (cauthā);fourth
शाम (śām);evening
शुरू करना / होना (śurū karnā/honā);to begin
सपना (sapnā);dream
सपना देखना (sapnā dekhnā);to dream
सब कुछ (sab kuch);everything
सिनेमा (sinemā);cinema
सैर (sair);walk, trip
सैर करना (sair karnā);to go for a walk
स्वर्ग (svarg);heaven
हज़ार (hazār);thousand
हर (har);each, every
हर कोई (har koī);everyone
होटल (hoṭal);hotel, café
ज़्यादातर (zyādātar);mostly, for the most part
बूढ़ा / बूढ़ी (būṛhā/būṛhī);old (person)
मौसम (mausam);weather, season
